0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
152,511,95,332
152,511,95,332
152,509,97,330
152,509,97,332
155,506,97,330
156,506,97,328
159,505,97,329
159,505,97,328
159,505,97,328
159,503,98,327
160,503,98,327
158,503,98,327
161,502,98,327
162,501,98,327
161,501,98,326
161,501,98,326
163,501,98,325
162,501,99,325
164,499,99,325
164,499,98,326
163,500,99,325
162,499,98,325
162,499,98,325
164,499,99,324
165,498,99,324
165,498,98,323
165,498,98,323
162,499,99,323
162,499,99,323
162,499,99,323
163,499,99,323
163,499,98,324
162,501,99,324
162,501,98,325
165,501,98,324
150,514,95,330
150,514,95,330
151,513,95,332
152,512,96,329
153,510,96,328
155,509,96,328
156,509,96,328
156,508,97,326
156,508,97,326
157,507,97,326
157,506,97,325
157,505,98,324
158,505,97,325
158,505,97,325
157,505,98,324
157,505,98,324
158,506,97,325
160,503,97,322
160,503,97,323
161,503,97,323
161,504,97,322
162,504,97,321
162,504,97,321
162,505,97,322
163,504,98,322
162,504,97,323
163,503,98,323
163,502,98,323
163,502,98,323
163,502,98,323
162,503,98,324
162,503,98,324
161,502,99,325
161,503,99,324
161,503,98,324
148,511,96,328
148,511,96,328
151,510,96,327
152,509,96,326
154,506,97,326
155,506,98,325
156,505,98,324
156,506,98,323
156,506,98,323
157,506,98,324
159,504,98,323
160,503,99,323
160,502,99,323
161,502,99,324
161,502,99,325
161,502,99,325
162,503,98,326
163,503,99,325
162,503,98,324
162,504,99,324
164,503,98,325
164,503,98,324
164,503,98,324
163,502,99,322
164,502,98,323
164,502,98,323
164,501,99,322
163,502,99,322
162,502,99,322
162,502,99,322
162,501,100,322
163,500,100,322
163,500,100,322
163,500,100,321
163,499,100,321
153,511,96,327
153,511,96,327
154,511,96,327
156,508,97,324
156,508,97,324
157,507,97,322
158,507,97,322
160,505,97,322
160,505,97,322
159,504,98,321
159,504,97,322
160,503,98,321
